1286,CONTROLADOR LOGICO PROGRAMAVEL INV-26 2654 FLEX,\\tsclient\i\documentos\softwares\microchip\16f876\inv-26\26v69\26v69_1.00.hex
1268,CONTROLADOR DIGITAL DE TEMPERATURA INV-139 13901 REV.5,i:\documentos\31668338.idx
1267,CONTROLADOR DIGITAL DE TEMPERATURA INV-139 13901-01 REV.5,i:\documentos\31668338.idx
1269,CONTROLADOR DIGITAL DE TEMPERATURA INV-139 13902 REV.5,i:\documentos\31668338.idx
1270,CONTROLADOR DIGITAL DE TEMPERATURA INV-139 13903 REV.5,i:\documentos\31668338.idx
917,FONTE INV-152 15201 (3502),i:\documentos\31668338.idx
1384,ACIONADOR ELETRONICO INV-136 13606 (5581),i:\documentos\softwares\atmel\samd09d14a\inv-136\136v06\13606_v1.00_lin.hex
14159,ACIONADOR ELETRONICO INV-136 13609 (9261),i:\documentos\softwares\atmel\samd09d14a\inv-136\136v06\13606_v1.00_lin.hex
1336,ACIONADOR ELETRONICO INV-136 13607 (6880),i:\documentos\softwares\atmel\samd09d14a\inv-136\136v07\13607-02_v1.10_pwm.hex
13133,ACIONADOR ELETRONICO INV-136 13610 D4 (10693),i:\documentos\softwares\atmel\samd09d14a\inv-136\136v10\13610_v1.10_pwm.hex
15237,ACIONADOR ELETRONICO INV-136 13611 D5 (12154),i:\documentos\softwares\atmel\samd09d14a\inv-136\136v11\13611_v1.30_pwm.hex
16385,ACIONADOR ELETRONICO INV-136 13622 D2 (13695),i:\documentos\softwares\atmel\samd09d14a\inv-136\136v22\13622_v1.00_pwm.hex
10106,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001 (IHM),i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
11514,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001 (IHM) (VENDA)P,i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
12930,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001/10 (IHM),i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
15674,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001/15 (IHM),i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
15790,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001/15 (IHM) (VENDA)P,i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
12915,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001/15 (T) (IHM) (VENDA)P,i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
12927,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001/5 (IHM),i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
12317,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60001/5 (IHM) (VENDA)P,i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
10830,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60002 (IHM) ACOPLADA,i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
16907,PAINEL ELETRONICO DE MENSAGENS SLP INV-600 60002 (IHM) ACOPLADA (VENDA)P,i:\documentos\softwares\esp32\inv-600\inv600vi9a0a8.bat
14119,PLACA PRONTA INV-660M1PL1_2.0 (VENDA) P,i:\documentos\softwares\esp32\inv-660\inv660v1819b0a5.bat
17030,PLACA PRONTA INV-660M1PL1_2.0 8A,i:\documentos\softwares\esp32\inv-660\inv660v1819b0a5.bat
1803,PLACA PRONTA MASTER INV-74 M2-01 (8A),i:\documentos\softwares\freescale\jm128\74m2v1.03.sap
2036,PLACA PRONTA MASTER INV-74 M2-03 (8A),i:\documentos\softwares\freescale\jm128\74m2v1.03.sap
947,PAINEL ELETRONICO DE MENSAGENS ITI 16X128 VM AC SMD,i:\documentos\softwares\freescale\jm128\inv-111\111v08\111m4_v8.1.0.sap
952,PAINEL ELETRONICO DE MENSAGENS ITI 16X128 VM AC SMD,i:\documentos\softwares\freescale\jm128\inv-111\111v08\111m4_v8.1.0.sap
953,PAINEL ELETRONICO DE MENSAGENS ITI 16X128 VM AC/1 SMD,i:\documentos\softwares\freescale\jm128\inv-111\111v08\111m4_v8.1.0.sap
1051,PAINEL ELETRONICO DE MENSAGENS ITM 16X128 VM AC SMD,i:\documentos\softwares\freescale\jm128\inv-111\111v08\111m4_v8.1.0.sap
2641,PLACA PRONTA INV-111M4 ITI 16X128 AC(SMD),i:\documentos\softwares\freescale\jm128\inv-111\111v08\111m4_v8.1.0.sap
8049,PAINEL ELETRONICO DE MENSAGENS ITI 16X96 VM AC/1 SMD,i:\documentos\softwares\freescale\jm128\inv-111\111v08\111m4_v8.2.0.sap
1422,CONTROLADOR DIGITAL DE TEMPERATURA INV-123 12306,i:\documentos\softwares\freescale\jm128\inv-123\123v06\123v06_1.60_j.sap
500,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12501,i:\documentos\softwares\freescale\jm128\inv-125\125v01\125v01_3.00.sap
1081,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12501-01,i:\documentos\softwares\freescale\jm128\inv-125\125v01\125v01_3.00.sap
676,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12504,i:\documentos\softwares\freescale\jm128\inv-125\125v04\125v04_2.20_por.sap
659,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12505,i:\documentos\softwares\freescale\jm128\inv-125\125v05\125v05_2.40.sap
677,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12508,i:\documentos\softwares\freescale\jm128\inv-125\125v08\125v08_2.84.sap
807,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12511,i:\documentos\softwares\freescale\jm128\inv-125\125v11\125v11_1.93_j.sap
12076,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12511-01,i:\documentos\softwares\freescale\jm128\inv-125\125v11\125v11_2.00.sap
806,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12512,i:\documentos\softwares\freescale\jm128\inv-125\125v12\125v12_1.71.sap
12077,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12512-01,i:\documentos\softwares\freescale\jm128\inv-125\125v12\125v12_1.81_j.sap
1221,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12515,i:\documentos\softwares\freescale\jm128\inv-125\125v15\125v15_1.52_j.sap
1252,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12517,i:\documentos\softwares\freescale\jm128\inv-125\125v17\125v17_1.50_j.sap
11417,CONTROLADOR DIGITAL DE TEMPERATURA INV-125 12519-01,i:\documentos\softwares\freescale\jm128\inv-125\125v20\125v20_1.30.sap
2331,PLACA PRONTA MASTER INV-74 M2-01 SMD,i:\documentos\softwares\freescale\jm128\inv-74m2\74m2v08\74m2 v8.01.sap
1758,PLACA PRONTA MASTER INV-74 M2-02 (8A),i:\documentos\softwares\freescale\jm128\inv-74m2\74m2v08\74m2 v8.01.sap
2330,PLACA PRONTA MASTER INV-74 M2-02 SMD,i:\documentos\softwares\freescale\jm128\inv-74m2\74m2v08\74m2 v8.01.sap
2332,PLACA PRONTA MASTER INV-74 M2-03 SMD,i:\documentos\softwares\freescale\jm128\inv-74m2\74m2v08\74m2 v8.01.sap
421,PAINEL ELETRONICO DE MENSAGENS ITI 16X128 VM AC/3,i:\documentos\softwares\freescale\jm64\inv-111\111v03_1.06.sap
948,PAINEL ELETRONICO DE MENSAGENS ITI 16X128 VM AC/5 SMD,i:\documentos\softwares\freescale\jm64\inv-111\111v03_1.06.sap
267,PAINEL ELETRONICO DE MENSAGENS ITT 16X128 VM AA/3,i:\documentos\softwares\freescale\jm64\inv-111\111v03_1.06.sap
1412,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12401(27467),i:\documentos\softwares\freescale\mp16\inv-124\124v01\124v01_2.41_j.sap
1414,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12402 TURBO/FRANG,i:\documentos\softwares\freescale\mp16\inv-124\124v03\124v03_3.00_j.sap
1611,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12407,i:\documentos\softwares\freescale\mp16\inv-124\124v08\124v08_2.50_j.sap
1451,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12409/M,i:\documentos\softwares\freescale\mp16\inv-124\124v10\124v10_1.52_m.sap
10523,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12409-01,i:\documentos\softwares\freescale\mp16\inv-124\124v10\124v10_2.30_j.sap
1415,ACIONADOR ELETRONICO INV-124 12410 FAE=FBT,i:\documentos\softwares\freescale\mp16\inv-124\124v11\124v11_1.22.sap
1449,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12411/J,i:\documentos\softwares\freescale\mp16\inv-124\124v14\124v14_1.31_j.sap
1455,ACIONADOR ELETRONICO INV-124 12413,i:\documentos\softwares\freescale\mp16\inv-124\124v16\124v16_1.11.sap
1358,ACIONADOR ELETRONICO INV-124 12413 24V,i:\documentos\softwares\freescale\mp16\inv-124\124v16\124v16_1.11.sap
1440,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12414,i:\documentos\softwares\freescale\mp16\inv-124\124v17\124v17_1.50_j.sap
1275,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12416,i:\documentos\softwares\freescale\mp16\inv-124\124v19\124v19_1.20.sap
1320,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12419 24V,i:\documentos\softwares\freescale\mp16\inv-124\124v20\124v20_1.50.sap
1321,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12420,i:\documentos\softwares\freescale\mp16\inv-124\124v21\124v21_1.33_j.sap
1322,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12421,i:\documentos\softwares\freescale\mp16\inv-124\124v22\124v22_1.22_j.sap
13751,CONTROLADOR DIGITAL DE TEMPERATURA INV-124  12417 24V,i:\documentos\softwares\freescale\mp16\inv-124\124v23\124v23_1.10.sap
1318,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12417,i:\documentos\softwares\freescale\mp16\inv-124\124v23\124v23_1.10.sap
1319,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12418,i:\documentos\softwares\freescale\mp16\inv-124\124v24\124v24_1.00.sap
13752,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12418 24V,i:\documentos\softwares\freescale\mp16\inv-124\124v24\124v24-01_1.10.sap
10651,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12418-01,i:\documentos\softwares\freescale\mp16\inv-124\124v24\124v24-01_1.10.sap
1351,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12425,i:\documentos\softwares\freescale\mp16\inv-124\124v30\124v30_1.12_j.sap
14598,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12425-01,i:\documentos\softwares\freescale\mp16\inv-124\124v30\124v30_1.12_j.sap
1405,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12428,i:\documentos\softwares\freescale\mp16\inv-124\124v31\124v31_1.45_j.sap
1439,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12430,i:\documentos\softwares\freescale\mp16\inv-124\124v33\124v33_1.40_j.sap
1445,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12432,i:\documentos\softwares\freescale\mp16\inv-124\124v34\124v34_1.03_j.sap
1460,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12433,i:\documentos\softwares\freescale\mp16\inv-124\124v35\124v35_1.50_j.sap
10644,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12434,i:\documentos\softwares\freescale\mp16\inv-124\124v36\124v36_1.10.sap
8241,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12435,i:\documentos\softwares\freescale\mp16\inv-124\124v37\124v37_1.03_j.sap
12094,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12435-01,i:\documentos\softwares\freescale\mp16\inv-124\124v37\124v37_1.03_j.sap
12416,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12438,i:\documentos\softwares\freescale\mp16\inv-124\124v40\124v40_1.50.sap
1367,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12426,i:\documentos\softwares\freescale\mp16\inv-124\124v42\124v42_1.20_j.sap
7254,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12426-01,i:\documentos\softwares\freescale\mp16\inv-124\124v42\124v42_1.20_j.sap
13269,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12439 24V,i:\documentos\softwares\freescale\mp16\inv-124\124v43\124v43_1.20_pwm.sap
14091,ACIONADOR ELETRONICO INV-124 12410-01,i:\documentos\softwares\freescale\mp16\inv-124\124v44\124v44_1.01.sap
14314,CONTROLADOR DIGITAL DE TEMPERATURA INV-124 12420-01,i:\documentos\softwares\freescale\mp16\inv-124\124v45\124v45_1.00_j.sap
1077,PLACA DE CIRCUITO IMPRESSO PARA CONTROLADOR DIGITAL DE TEMPERATURA COM TEMPORIZADOR INV-145 14501,i:\documentos\softwares\freescale\mp16\inv-145\145v01_1.31_j.sap
1078,ACIONADOR ELETRONICO INV-145 14502,i:\documentos\softwares\freescale\mp16\inv-145\145v02_1.30.sap
1419,PLACA DE CIRCUITO IMPRESSO PARA CONTROLADOR DIGITAL DE TEMPERATURA COM TEMPORIZADOR INV-145 14503,i:\documentos\softwares\freescale\mp16\inv-145\145v03_1.20_j.sap
1420,ACIONADOR ELETRONICO INV-145 14504,i:\documentos\softwares\freescale\mp16\inv-145\145v04_1.10.sap
1125,ACIONADOR ELETRONICO INV-151 15101 (732062),i:\documentos\softwares\freescale\mp16\inv-151\151v01\151v01_1.60.sap
11435,CONTROLADOR DIGITAL DE TEMPERATURA COM TEMPORIZADOR INV-YA YA1-02-J-H-R-R,i:\documentos\softwares\freescale\mp16\inv-179\179v01\179v01_1.40_j.sap
16252,CONTROLADOR DIGITAL DE TEMPERATURA COM TEMPORIZADOR INV-YA YA1-02-J-H-R-S,i:\documentos\softwares\freescale\mp16\inv-179\179v01\179v01_1.40_j.sap
8103,CONTROLADOR DIGITAL DE TEMPERATURA COM TEMPORIZADOR INV-YA YA1-02-J-H-R20-R,i:\documentos\softwares\freescale\mp16\inv-179\179v01\179v01_1.40_j.sap
